URL_ID,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
98,0.221,0.015,0.9984,0.764,18.68,17.98715203,14.66686081,18.68,84,467,1.837259101,11,5.940042827
99,0.246,0.021,0.9985,0.733,19.85714286,18.46522782,15.32894827,19.85714286,77,417,1.820143885,5,5.884892086
100,0.071,0.031,0.9467,0.898,15.96551724,19.65442765,14.24797795,15.96551724,91,463,1.965442765,3,7.146868251
101,0.5,0,0.4588,0.5,4,0,1.6,4,0,4,1.5,1,4.5
102,0.157,0.025,0.9954,0.817,12.32352941,30.31026253,17.05351678,12.32352941,127,419,2.675417661,8,9.861575179
103,0.233,0.015,0.9996,0.751,14.66037736,14.8005148,11.78435686,14.66037736,115,777,1.701415701,22,5.424710425
104,0.181,0.012,0.9986,0.808,18.23529412,14.51612903,13.10056926,18.23529412,90,620,1.729032258,5,5.658064516
105,0.086,0.052,0.9997,0.862,13.27306968,13.89046538,10.86541402,13.27306968,979,7048,1.634222474,12,5.418416572
106,0.198,0.016,0.9988,0.786,17.38235294,16.07445008,13.38272121,17.38235294,95,591,1.766497462,13,5.692047377
107,0.224,0.021,0.9983,0.755,17.52,20.0913242,15.04452968,17.52,88,438,1.906392694,11,6.118721461
108,0.211,0.019,0.9997,0.77,21.75510204,17.44840525,15.68140292,21.75510204,186,1066,1.771106942,11,5.702626642
109,0.24,0.031,0.998,0.729,19.25,17.92207792,14.86883117,19.25,69,385,1.854545455,7,5.919480519
